Date,Close,High,Low,Open,Volume
2025-01-02,3.72,3.78,3.68,3.7,4984100
2025-01-03,3.72,3.79,3.68,3.73,3513800
2025-01-06,3.7,3.82,3.67,3.75,5772800
2025-01-07,3.75,3.79,3.71,3.73,4648800
2025-01-08,3.76,3.77,3.7,3.76,3543600
2025-01-09,3.75,3.76,3.73,3.73,1309700
2025-01-10,3.83,3.91,3.78,3.83,8981000
2025-01-13,3.81,3.97,3.8,3.9,8081600
2025-01-14,3.77,3.85,3.74,3.75,3516200
2025-01-15,3.84,3.87,3.77,3.81,3359700
2025-01-16,3.72,3.89,3.72,3.8,3673200
2025-01-17,3.73,3.76,3.69,3.71,2627600
2025-01-20,3.81,3.81,3.69,3.69,2877000
2025-01-21,3.66,3.74,3.61,3.72,4440800
2025-01-22,3.66,3.73,3.63,3.66,4288200
2025-01-23,3.6,3.76,3.58,3.66,3434300
2025-01-24,3.57,3.62,3.52,3.59,2897900
2025-01-27,3.47,3.56,3.42,3.51,4138300
2025-01-28,3.44,3.52,3.43,3.51,2885000
2025-01-29,3.51,3.54,3.41,3.41,4104000
2025-01-30,3.55,3.57,3.49,3.53,3477500
2025-01-31,3.41,3.56,3.41,3.55,3491300
2025-02-03,3.32,3.4,3.18,3.18,3918000
2025-02-04,3.46,3.46,3.28,3.34,3452200
2025-02-05,3.42,3.47,3.39,3.46,2379000
2025-02-06,3.32,3.46,3.28,3.44,2712700
2025-02-07,3.4,3.44,3.32,3.34,3452100
2025-02-10,3.59,3.6,3.42,3.44,6849200
2025-02-11,3.61,3.66,3.58,3.62,3060300
2025-02-12,3.45,3.61,3.43,3.57,4099900
2025-02-13,3.43,3.46,3.4,3.42,2802700
2025-02-14,3.41,3.48,3.37,3.43,3345500
2025-02-18,3.5,3.52,3.39,3.44,3121900
2025-02-19,3.54,3.6,3.5,3.52,2312500
2025-02-20,3.56,3.57,3.48,3.54,2381200
2025-02-21,3.37,3.54,3.34,3.53,4200700
2025-02-24,3.3,3.38,3.29,3.36,5084000
2025-02-25,3.11,3.27,3.11,3.26,5649700
2025-02-26,3.11,3.15,3.07,3.11,3397000
2025-02-27,3.2,3.22,3.13,3.14,4166400
2025-02-28,3.2,3.22,3.09,3.15,4282500
2025-03-03,2.93,3.23,2.84,3.2,9994700
2025-03-04,2.92,2.98,2.77,2.78,6993800
2025-03-05,2.78,2.85,2.68,2.83,9701800
2025-03-06,2.76,2.8,2.69,2.78,6643300
2025-03-07,2.85,2.9,2.78,2.8,5405500
2025-03-10,2.77,2.86,2.72,2.83,9535400
2025-03-11,2.86,2.86,2.77,2.78,4443900
