Date,Close,High,Low,Open,Volume
2025-01-02,10.53,10.76,9.73,9.74,2129900
2025-01-03,10.75,10.78,10.34,10.53,1809700
2025-01-06,10.69,11.07,10.68,10.85,1395200
2025-01-07,10.14,10.8,10.12,10.74,1177000
2025-01-08,9.97,10.1,9.68,10.08,1568900
2025-01-09,9.91,10.01,9.76,9.94,672700
2025-01-10,9.81,10.03,9.75,9.96,891500
2025-01-13,9.63,9.9,9.52,9.62,1002800
2025-01-14,9.63,9.95,9.59,9.81,1385800
2025-01-15,9.84,10.0,9.61,9.81,1380200
2025-01-16,9.67,9.96,9.59,9.88,844900
2025-01-17,9.92,10.02,9.58,9.68,1399000
2025-01-20,9.91,9.98,9.84,9.93,309200
2025-01-21,10.32,10.42,9.91,9.91,1448800
2025-01-22,10.76,11.04,10.29,10.4,2089900
2025-01-23,10.67,10.87,10.55,10.7,1570100
2025-01-24,10.38,10.98,10.33,10.7,1596700
2025-01-27,8.75,9.77,8.73,9.77,4276900
2025-01-28,9.09,9.26,8.76,9.08,3211200
2025-01-29,9.7,9.9,9.04,9.04,2734500
2025-01-30,9.81,10.06,9.68,9.8,1941100
2025-01-31,9.49,9.99,9.46,9.91,2143100
2025-02-03,9.23,9.49,9.0,9.0,1579700
2025-02-04,9.55,9.62,9.26,9.27,1705100
2025-02-05,9.39,9.64,9.29,9.52,955400
2025-02-06,9.24,9.53,9.15,9.53,830500
2025-02-07,9.33,9.59,9.19,9.19,868300
2025-02-10,9.31,9.66,9.3,9.5,928400
2025-02-11,9.02,9.31,9.01,9.26,732000
2025-02-12,9.22,9.31,8.9,8.94,1110100
2025-02-13,9.2,9.22,9.01,9.15,1097000
2025-02-14,8.61,9.15,8.5,9.15,1691700
2025-02-18,8.74,8.81,8.58,8.61,1164200
2025-02-19,8.41,8.67,8.29,8.66,2037600
2025-02-20,8.36,8.52,8.27,8.44,1625200
2025-02-21,7.96,8.38,7.92,8.38,1853500
2025-02-24,7.89,8.02,7.78,8.0,1842800
2025-02-25,7.65,7.84,7.59,7.81,2176300
2025-02-26,7.73,8.08,7.68,7.76,2938100
2025-02-27,7.55,8.08,7.54,7.88,1730800
2025-02-28,7.63,7.65,7.36,7.49,2224300
2025-03-03,6.94,7.72,6.93,7.69,3300100
2025-03-04,6.94,7.06,6.66,6.9,5616500
2025-03-05,7.12,7.2,7.01,7.05,2052700
2025-03-06,7.08,7.28,7.0,7.0,2069300
2025-03-07,6.98,7.11,6.86,7.04,2046300
2025-03-10,6.58,6.85,6.44,6.81,2418600
2025-03-11,6.84,6.94,6.5,6.5,2098700
2025-03-12,6.91,7.1,6.88,7.07,2540900
2025-03-13,6.79,6.94,6.7,6.94,1771100
2025-03-14,6.73,6.92,6.66,6.87,1827700
2025-03-17,6.9,6.93,6.69,6.74,1733900
2025-03-18,6.9,6.93,6.7,6.93,1143300
2025-03-19,7.09,7.12,6.91,6.91,1312800
2025-03-20,7.21,7.3,6.98,7.02,1826600
2025-03-21,7.06,7.24,6.97,7.18,2156500
2025-03-24,7.39,7.55,7.12,7.34,2809500
2025-03-25,7.1,7.47,7.03,7.46,1434600
2025-03-26,7.07,7.17,6.99,7.1,1261300
2025-03-27,6.91,7.12,6.84,7.12,1134800
